gene_id	C2UT01.1	C3UT02.1	C3UT02.2	C4UT03.1	C4UT03.2	C6TR01.1	C6TR01.2	C7TR02.1	C7TR02.2	C8TR03.1	C8TR03.2
LOC101928326	0	0	0	0	0	0	0	0	0	0	0
PDE7B	0	0	0	0	0	0	0	0	0	0	0
LOC101928373	0	0	0	0	0	0	0	0	0	0	0
PDE7B-AS1	0	0	0	0	0	0	0	0	1	4	2
MTFR2	90	24	78	30	95	20	92	13	68	16	73
BCLAF1	2439	617	1943	466	1959	492	2070	566	1699	414	1846
LOC124901408	0	0	1	0	0	0	0	1	0	0	0
MAP7	1615	386	1068	333	1411	351	1421	341	1239	308	1368
MAP7-AS1	45	8	19	4	35	2	38	6	23	0	33
MAP3K5	278	55	183	44	212	38	228	65	226	49	219
MAP3K5-AS1	0	0	0	0	1	0	3	0	0	0	0
LOC124901410	0	0	0	0	0	0	0	0	1	0	0
MAP3K5-AS2	1	2	0	0	2	0	0	0	1	0	0
PEX7	199	34	139	27	165	33	139	58	133	32	127
LOC124900226	0	0	0	0	0	0	0	0	0	0	0
SLC35D3	7	1	12	0	2	2	14	3	6	1	9
NHEG1	0	0	0	0	0	0	0	0	0	0	0
IL20RA	38	9	26	3	38	5	20	5	19	8	22
IL22RA2	0	0	0	0	0	0	0	0	0	0	0
IFNGR1	2123	439	1423	408	1665	426	1871	422	1680	410	1842
LOC105378017	0	0	0	0	0	0	0	0	0	0	0
LOC102723633	0	0	0	0	0	0	0	0	0	0	1
OLIG3	1	0	4	2	8	0	0	0	1	1	0
LINC03004	5	0	5	0	5	1	4	3	12	4	3
LOC105378018	0	0	1	0	1	0	1	0	0	0	1
LOC124901411	1	0	0	0	2	0	2	0	0	1	1
LINC02539	0	0	0	0	0	0	0	0	0	0	0
WAKMAR2	9	0	3	1	7	0	4	0	5	0	3
TNFAIP3	685	184	497	155	682	134	597	164	587	167	657
SIMALR	0	0	0	0	0	0	0	0	0	0	0
LINC02865	0	0	0	0	0	0	0	0	0	0	0
LOC105378021	0	0	0	0	2	0	0	0	0	0	0
PERP	4705	1077	3614	1091	4399	1095	4707	1226	4049	939	4769
ARFGEF3	58	21	52	25	99	21	76	15	62	24	88
PBOV1	0	0	0	0	0	0	0	2	0	0	0
SMIM28	0	0	0	0	0	0	0	0	0	0	0
HEBP2	990	220	688	159	691	174	747	200	747	176	743
NHSL1	1028	234	790	224	948	203	855	200	774	171	829
MIR3145	0	1	0	0	0	0	0	0	0	1	0
NHSL1-AS1	0	1	0	0	0	0	0	0	0	0	0
LOC124900217	5	1	4	4	11	1	14	5	4	3	10
CCDC28A-AS1	2	0	0	0	7	0	2	0	0	1	0
CCDC28A	96	19	76	22	89	17	101	21	99	24	102
ECT2L	5	1	0	0	5	1	1	0	3	0	6
LOC124901516	0	0	0	0	0	0	0	0	0	0	0
LOC107986650	0	0	2	0	2	0	0	1	1	0	0
REPS1	663	148	523	129	510	120	589	167	514	114	498
ABRACL	1207	269	783	196	835	218	908	267	851	184	921
HECA	442	107	266	125	456	107	423	146	391	118	495
TXLNB	3	2	1	1	6	1	2	0	11	0	5
LOC102723690	0	0	0	0	0	0	0	0	0	0	0
CITED2	1043	211	693	194	835	234	853	226	881	191	822
LOC107986651	0	0	0	0	0	0	2	0	0	0	0
LINC01625	7	0	3	0	0	0	1	0	0	0	0
LOC105378023	0	0	0	0	0	0	0	0	0	0	0
LOC105378024	2	2	2	1	4	0	4	0	1	1	1
FILNC1	5	1	8	0	12	0	1	2	4	3	3
LINC02941	0	0	0	0	0	0	0	0	0	0	0
LOC103352541	0	0	0	0	0	0	0	0	0	0	0
LOC107986652	0	0	0	0	0	0	0	0	0	0	0
LOC124901412	0	0	0	0	0	0	0	0	0	0	0
LOC105378025	0	0	0	0	0	0	0	0	0	0	0
MIR3668	0	0	0	0	0	0	0	0	0	0	0
LOC105378027	0	0	0	0	0	0	0	0	0	0	0
LOC124901414	0	0	0	0	0	0	0	0	0	0	0
LOC105378026	0	0	0	0	0	0	0	0	0	0	0
MIR4465	0	0	0	0	0	0	0	0	0	0	0
LOC102723724	0	0	0	0	0	0	0	0	0	0	0
LOC124901413	0	0	1	0	0	0	0	0	0	0	0
LOC105378029	0	0	0	0	0	0	0	0	0	0	0
LOC124901415	0	0	0	0	0	0	0	0	0	0	0
LOC105378030	0	0	0	0	1	2	0	0	0	0	0
LOC105378031	0	0	0	0	2	0	0	0	1	0	0
LOC107986654	0	0	0	0	0	0	0	0	0	0	0
NMBR	0	0	0	0	0	1	0	0	0	0	3
GJE1	0	0	0	0	0	0	0	0	0	0	0
VTA1	1058	234	793	183	786	156	780	186	625	157	786
LINC02919	8	0	3	0	5	0	3	1	0	1	2
ADGRG6	3396	847	2650	761	3369	784	3225	885	2947	687	3506
LOC153910	0	0	1	0	0	0	0	0	0	0	0
HIVEP2	104	23	90	30	177	33	141	51	117	22	147
HIVEP2-DT	3	0	2	0	4	0	6	1	5	0	1
LINC01277	15	3	9	2	13	1	7	1	5	2	14
AIG1	1877	489	1415	347	1530	378	1561	442	1322	391	1626
LOC124901416	0	0	0	0	0	0	0	0	0	0	0
LOC107986656	12	0	6	3	6	3	4	1	9	2	12
ADAT2	287	78	265	83	270	66	309	71	242	51	213
PEX3	510	117	396	115	406	91	429	109	389	78	407
FUCA2	2700	585	1632	519	2228	519	2390	588	2054	557	2449
LOC124901417	9	3	16	5	21	7	23	7	13	4	25
LOC105378035	22	5	13	6	27	2	14	7	15	0	15
PHACTR2	600	152	492	142	502	146	575	144	484	143	528
PHACTR2-AS1	1	2	1	0	3	0	4	1	2	0	0
LTV1	512	122	402	87	352	85	381	87	368	69	378
ZC2HC1B	0	0	0	0	0	0	0	0	0	0	0
PLAGL1	23	15	22	6	24	1	30	4	24	8	21
HYMAI	0	0	0	0	0	0	0	0	0	0	0
SF3B5	693	118	427	91	450	109	473	115	443	121	426
LOC105378036	0	0	0	0	0	0	0	0	0	0	0
STX11	4	0	5	1	3	3	3	1	9	1	11
TRL-TAA1-1	0	0	0	0	0	0	0	0	0	0	0
UTRN	1454	342	1189	372	1482	340	1458	336	1288	251	1170
LOC124901418	4	0	1	0	0	0	3	0	0	0	1
SNORA98	0	0	0	0	0	0	0	0	0	0	0
TRQ-TTG4-1	0	0	0	0	0	0	0	0	0	0	0
EPM2A	60	8	27	2	43	15	41	13	26	3	29
EPM2A-DT	6	0	1	0	2	3	3	3	0	0	0
LOC105378039	0	0	1	0	0	0	0	0	0	0	0
LOC124901419	2	0	4	0	6	0	1	2	1	0	3
FBXO30	432	111	361	98	312	88	318	90	250	66	271
SHPRH	350	92	307	70	337	61	327	72	261	88	248
LOC124901420	0	0	0	0	0	0	1	0	0	0	1
GRM1	0	0	1	0	0	0	1	0	0	0	1
RAB32	332	58	241	53	236	65	270	74	237	58	242
ADGB-DT	0	0	0	0	0	0	0	0	0	0	0
ADGB	0	1	0	0	0	0	0	0	0	0	0
LOC105378040	0	0	0	0	0	0	0	0	0	0	0
KATNBL1P6	0	0	0	0	1	0	0	0	0	0	0
STXBP5-AS1	5	1	7	2	9	0	7	5	8	1	5
LUADT1	0	0	0	0	0	0	0	0	0	0	0
LOC124901422	3	3	3	0	3	0	0	0	0	0	0
STXBP5	319	100	285	70	332	59	270	73	226	70	277
LOC124901421	3	0	0	0	1	0	0	0	0	4	0
LOC105378043	0	0	0	0	0	0	0	0	0	0	0
SAMD5	351	71	243	59	276	93	336	102	320	74	289
LOC105378044	0	0	0	0	0	0	0	0	0	1	0
LOC124901423	0	0	0	0	0	0	0	0	0	0	0
SASH1	324	59	222	61	310	82	308	90	321	73	344
LOC124901425	0	0	0	0	0	0	0	0	0	0	0
UST	0	0	0	0	0	0	1	0	1	0	0
LOC107986659	0	0	0	0	0	0	0	0	0	0	0
UST-AS1	0	0	0	0	0	0	0	0	0	0	0
LOC124901424	0	0	0	0	0	0	0	0	0	0	0
UST-AS2	0	0	0	0	0	0	1	0	0	0	0
LOC124901426	0	0	0	0	0	0	0	0	0	0	0
TAB2	1005	251	833	255	978	202	1007	245	847	174	945
TAB2-AS1	0	0	1	0	0	0	0	0	0	0	0
SUMO4	0	0	1	2	1	3	2	0	1	1	0
ZC3H12D	78	13	56	24	74	23	76	15	71	12	82
PPIL4	573	131	402	101	432	127	443	108	406	91	425
GINM1	477	105	412	114	418	119	416	119	394	90	446
RPS18P9	21	0	5	5	13	4	13	3	15	1	7
LOC124901526	2	1	1	0	0	0	0	0	0	0	0
KATNA1	234	42	151	34	138	52	172	44	134	40	150
LATS1	519	126	502	120	540	122	577	134	435	109	460
LOC645967	1	0	0	0	6	0	1	0	2	0	0
NUP43	996	247	772	192	765	219	719	222	656	133	698
PCMT1	1278	291	888	225	987	235	1047	259	932	219	978
LOC107986660	3	3	3	0	4	1	9	0	5	2	4
RAET1E-LRP11	0	0	0	0	1	0	0	1	1	0	1
LRP11	33	13	49	15	58	14	50	8	39	7	40
LOC124901427	0	0	0	0	0	0	1	1	0	0	0
RAET1E-AS1	0	0	0	0	0	0	0	0	0	0	0
RAET1E	0	0	0	0	0	0	0	0	0	0	0
RAET1G	1	0	0	0	0	0	0	0	0	0	1
LOC105378052	0	0	0	0	0	0	0	0	0	0	0
ULBP2	130	29	115	41	160	39	190	52	151	43	194
ULBP1	13	7	14	3	22	1	23	5	16	2	28
RAET1K	7	4	4	3	3	1	3	0	8	0	4
RAET1L	0	0	0	0	0	0	0	0	0	0	0
ULBP3	159	32	106	35	75	16	99	26	77	17	91
LOC124901428	2	0	0	0	0	0	0	0	0	0	0
PPP1R14C	39	1	16	6	11	7	17	4	18	0	9
LOC124901527	0	0	0	0	0	0	0	0	0	0	0
LOC105378054	0	0	0	0	0	0	0	0	0	0	0
IYD	653	131	477	136	520	149	512	142	433	119	579
LOC124901429	0	0	0	0	0	0	0	0	0	0	0
PLEKHG1	179	54	170	45	189	27	202	53	219	50	197
LOC124901430	3	0	0	0	3	0	0	0	0	0	0
LOC124901431	1	3	1	4	7	0	2	1	0	0	5
MTHFD1L	456	121	297	57	293	97	353	76	269	64	278
ARL4AP5	0	0	0	0	0	0	0	0	0	0	0
LOC124901432	1	0	0	0	0	0	0	0	0	0	0
MIR12131	0	0	0	0	0	0	0	0	0	0	0
LOC102723831	0	0	0	0	0	0	0	0	0	0	0
AKAP12	57	13	44	10	73	3	56	15	42	13	42
ZBTB2	527	119	382	103	451	106	447	107	413	99	408
LOC124901232	132	33	125	27	123	35	98	21	79	11	90
RMND1	729	148	605	143	572	135	553	154	593	124	595
LOC124901433	2	0	1	0	1	2	1	0	0	0	3
ARMT1	1367	309	954	245	983	252	1142	276	962	212	1145
LOC124901434	5	1	2	0	2	0	7	0	4	0	5
CCDC170	174	30	100	23	100	24	108	15	95	25	129
LOC124901436	2	0	0	0	1	0	1	0	0	0	0
LOC107986528	0	0	0	0	0	0	0	1	0	0	0
LOC124901435	0	0	2	0	2	0	2	0	0	0	0
ESR1	4	1	9	2	9	0	7	4	3	1	4
LOC107986529	2	0	0	0	0	0	2	0	0	0	0
SYNE1	651	165	500	109	560	135	561	155	558	126	493
SYNE1-AS1	0	0	0	0	0	0	4	0	0	0	0
LOC124901437	0	0	0	0	0	0	0	0	0	0	0
LOC105378061	0	0	0	0	0	0	0	0	0	0	0
MYCT1	0	0	0	0	0	0	0	0	1	0	0
VIP	0	0	0	0	0	0	0	0	0	0	0
LINC02840	0	0	0	0	0	0	0	0	0	0	0
LOC124901440	1	0	0	0	0	0	0	0	1	0	1
LOC124901439	0	0	0	0	0	0	0	0	0	0	0
FBXO5	353	91	272	62	300	62	265	55	240	46	240
MTRF1L	378	87	283	82	333	86	344	66	295	68	322
RGS17	18	6	31	3	9	2	14	5	2	1	17
LOC105378066	0	0	0	0	0	0	1	0	0	0	0
LOC107986661	0	0	0	0	0	0	0	0	0	0	0
OPRM1	0	0	0	0	0	0	0	0	0	0	0
IPCEF1	6	0	2	0	8	0	5	2	3	2	6
LOC105378067	3	0	1	0	2	1	0	0	0	0	0
CNKSR3	758	175	522	169	761	179	694	200	556	177	678
LOC101928868	15	2	9	6	8	1	15	2	19	4	6
SCAF8	1045	215	730	196	905	191	835	197	708	148	721
MIR1273C	0	0	0	0	0	0	0	0	0	0	0
TIAM2	151	21	95	53	159	26	129	41	133	15	147
TFB1M	193	43	158	35	156	27	133	46	127	14	141
CLDN20	4	0	2	2	1	0	2	1	1	1	1
NOX3	0	0	0	0	0	0	0	0	0	0	0
LOC105378068	0	0	0	0	0	0	0	0	0	0	0
LOC105378069	0	0	0	0	0	0	0	0	0	0	0
LOC105378072	1	0	0	0	1	0	0	0	0	0	0
LOC101928923	0	0	1	0	3	0	1	0	0	0	0
LOC124901443	0	0	0	0	0	0	0	0	0	0	0
MIR1202	0	0	0	0	0	0	0	0	0	0	0
LOC124901442	0	0	0	0	0	0	0	0	0	0	0
LOC124901441	0	0	0	0	0	0	0	0	0	0	0
LOC105378071	0	0	0	0	0	0	0	0	0	0	0
SNORD28B	0	0	0	0	0	0	0	0	0	0	0
LOC105378073	0	0	0	0	0	0	0	0	0	0	0
LOC124901444	0	0	0	0	0	0	0	0	0	0	0
ARID1B	783	203	662	202	795	159	712	216	629	179	697
LOC115308161	3	1	5	0	1	0	1	0	0	0	1
MIR4466	0	0	0	0	0	0	0	0	0	0	0
LOC124901445	0	0	1	0	0	0	0	0	0	0	0
LOC105378075	3	0	5	0	0	2	0	0	4	0	0
TMEM242	313	62	206	69	241	63	311	60	199	52	254
TMEM242-DT	11	0	5	0	5	4	5	0	4	0	5
LOC105378076	0	0	0	0	0	0	0	0	0	0	0
LOC124901446	16	1	9	1	2	2	3	0	3	1	6
ZDHHC14	365	55	215	81	300	56	232	68	268	57	269
MIR3692	0	0	0	0	0	0	0	2	0	0	0
LOC107986663	0	0	0	0	1	0	0	0	0	0	0
SNX9	1473	341	1028	319	1406	338	1271	344	1280	294	1332
SNX9-AS1	0	0	0	0	0	0	0	0	0	0	0
SYNJ2	740	140	535	147	618	137	698	173	567	145	604
SYNJ2-IT1	0	0	0	0	0	0	0	0	0	0	0
SERAC1	183	43	167	27	172	29	157	46	130	41	155
GTF2H5	428	59	206	81	239	72	212	76	215	64	232
TULP4	1287	294	930	314	1515	321	1348	322	1191	289	1380
LOC124901447	4030	1037	3489	1248	4868	1057	4472	1208	4225	1004	4452
SNORA116	0	0	0	0	0	0	0	0	0	0	0
TMEM181	1311	258	1016	364	1394	300	1385	340	1102	285	1277
MIR7161	0	0	0	0	0	0	0	0	0	0	0
DYNLT1	452	65	237	70	277	106	324	92	332	78	299
SYTL3	7	2	9	1	13	1	14	6	13	1	22
MIR3918	0	0	0	0	0	0	0	0	0	0	0
EZR	5330	1061	3501	1125	4616	1138	4816	1290	4498	1085	4887
EZR-AS1	0	0	0	0	0	0	0	1	0	0	2
OSTCP1	1	0	0	2	0	0	0	0	1	0	0
LOC124901448	0	0	1	0	0	0	0	0	1	0	0
LINC02901	11	3	2	6	5	2	2	0	2	6	15
RSPH3	167	40	114	37	144	49	166	47	153	40	163
TAGAP-AS1	2	0	2	0	4	0	5	0	0	0	1
TAGAP	0	0	1	0	0	0	0	0	0	0	0
LOC112267968	0	0	0	0	0	0	0	0	0	0	0
LOC124901449	0	0	0	0	0	0	0	0	0	0	0
FNDC1-AS1	0	0	0	0	0	0	0	0	0	0	0
FNDC1	0	0	0	0	0	0	0	0	0	0	0
FNDC1-IT1	0	0	0	0	0	0	0	0	0	0	0
LOC105378084	0	0	0	0	0	0	0	0	0	0	0
LINC02529	0	0	0	0	0	0	0	0	0	0	0
LOC101929142	0	0	0	0	0	0	0	0	0	0	0
LOC105378085	0	0	2	0	0	0	0	0	0	0	0
LOC124901450	0	0	2	0	0	2	6	0	2	0	1
SOD2	3994	835	2580	694	2939	747	3098	795	2779	625	2839
WTAP	957	191	662	163	761	179	713	205	635	132	663
SOD2-OT1	11	0	7	4	7	1	5	0	10	7	8
ACAT2	1681	470	1296	286	1144	259	1068	295	1070	258	1072
TCP1	3494	726	2420	609	2525	582	2609	715	2280	545	2526
SNORA20	1	0	2	0	1	0	1	0	0	0	0
SNORA29	3	3	1	1	1	0	3	0	2	0	0
MRPL18	916	217	694	185	604	148	610	165	639	136	624
PNLDC1	3	0	5	1	3	1	3	0	8	0	7
MAS1	0	0	0	0	0	0	0	0	0	0	0
IGF2R	5156	1201	3726	1225	5305	1240	5295	1409	4822	1031	5011
AIRN	0	0	0	0	0	0	0	0	0	0	0
LOC124901451	4	0	0	1	5	0	3	1	0	0	6
CHP1P2	75	19	55	13	62	4	71	15	63	21	69
LOC124901452	1	0	1	0	2	0	2	0	0	1	3
SLC22A1	2	1	0	1	11	3	7	1	16	1	8
SLC22A2	4	0	0	0	0	2	2	0	2	1	0
LOC105378088	0	0	0	0	1	0	3	1	1	0	3
SLC22A3	120	29	89	27	109	22	92	27	103	22	96
LOC124901453	0	0	1	0	2	0	2	0	2	0	5
LPAL2	0	0	0	0	0	0	1	0	0	0	2
LOC124901454	0	0	0	0	0	0	0	0	0	0	0
LPA	2	0	0	2	3	0	1	0	0	1	1
PLG	38	11	29	4	21	7	2	2	19	2	10
LOC112267969	0	0	0	0	0	0	0	0	0	0	0
LOC105378093	0	0	0	0	0	0	0	0	0	0	0
LOC102724087	0	0	0	0	0	0	0	0	0	0	0
MAP3K4-AS1	9	0	4	0	5	2	7	0	9	4	7
MAP3K4	493	113	387	108	430	83	417	99	338	89	370
AGPAT4	41	14	43	11	51	9	59	11	36	8	49
LOC124901455	3	3	3	0	1	0	3	1	5	1	0
AGPAT4-IT1	4	0	3	1	2	0	0	0	0	0	1
LOC105378094	0	0	0	0	0	0	0	0	0	0	0
PRKN	28	4	18	2	13	5	27	2	16	6	13
LOC124901457	0	0	0	0	0	0	0	0	0	0	0
LOC124901456	2	0	0	3	1	0	7	0	1	0	0
LOC105378098	0	0	0	0	0	0	0	0	0	0	0
LOC105378097	0	0	0	0	0	0	0	0	0	0	0
LOC105369171	0	0	0	0	0	0	0	0	0	0	0
PACRG	3	0	2	0	3	0	0	2	2	0	0
PACRG-AS2	0	0	0	0	0	0	0	0	0	0	0
PACRG-AS3	0	0	0	0	0	0	0	0	0	0	1
LOC105378095	0	0	0	0	0	0	0	0	0	0	0
PACRG-AS1	0	0	0	0	0	0	0	0	0	0	0
DKFZp451B082	0	0	0	0	0	0	0	0	0	0	0
LOC105378099	0	0	0	0	0	0	0	0	0	0	0
LOC105378100	0	0	0	0	0	0	0	0	1	0	0
LOC124901234	3	0	0	0	2	0	0	0	2	0	3
CAHM	0	0	0	0	0	0	0	0	0	0	0
QKI	882	241	700	211	828	161	721	143	687	169	725
LOC102724152	0	0	0	0	0	0	0	0	0	0	0
LOC124901498	0	0	0	0	0	0	0	0	0	0	0
LOC105378104	0	0	0	0	0	0	0	0	0	0	0
LOC124901499	0	0	0	0	0	0	0	0	0	0	0
LOC105378102	0	0	0	0	0	0	0	0	0	0	0
LOC105378106	2	0	0	0	0	0	0	0	0	0	0
LOC105378109	0	0	0	0	0	0	0	0	0	0	0
LOC105379712	0	0	0	0	0	0	0	0	0	0	0
LOC107986667	0	0	0	0	0	0	0	0	0	0	0
MEAT6	0	0	0	0	0	0	0	0	0	0	0
LOC124901500	0	0	0	0	0	0	0	0	0	0	0
C6orf118	0	0	0	0	0	0	0	0	0	0	0
LOC105378113	0	0	0	0	0	0	0	0	0	0	0
PDE10A	106	28	101	30	147	43	152	34	101	32	132
LOC105378116	0	0	0	0	0	0	0	0	0	0	0
LOC105378115	0	0	0	0	0	0	0	0	0	0	0
LOC124901458	0	0	0	0	1	0	0	0	0	0	0
LINC00473	0	0	0	0	0	0	0	0	0	0	1
LINC00602	0	0	0	0	0	0	0	0	0	0	0
LOC105378117	0	0	0	0	0	0	0	0	0	0	0
LOC729681	0	0	0	0	0	0	0	0	0	0	0
TBXT	0	0	0	0	0	0	0	0	0	0	0
LNCDAT	0	0	0	0	0	0	0	0	0	0	0
LOC101929297	0	0	0	0	0	0	0	0	0	0	0
LOC107986668	0	0	0	0	0	0	0	0	0	0	0
LOC105378118	0	0	0	0	0	0	0	0	0	0	0
PRR18	19	5	21	3	14	2	10	4	11	2	10
LOC107986669	5	2	4	0	2	0	1	2	3	2	0
SFT2D1	580	136	362	110	425	102	409	127	374	59	436
LOC100289495	37	11	20	11	41	14	42	7	25	5	51
MPC1	698	156	524	93	529	102	513	128	433	91	491
RPS6KA2	44	1	18	4	38	9	18	9	23	5	27
LOC124901460	0	0	0	0	0	0	0	0	2	0	0
RPS6KA2-IT1	0	1	0	0	0	0	0	0	0	0	1
MIR1913	0	0	0	0	0	0	0	0	0	0	0
RAMACL	1	0	1	0	2	0	2	1	1	2	2
LOC107986671	0	0	0	0	0	0	0	0	0	0	0
LOC124901459	0	0	0	0	0	0	0	0	0	0	4
LOC124901461	1	0	0	0	0	0	1	1	0	0	1
RPS6KA2-AS1	0	0	0	0	0	0	2	0	0	0	0
RNASET2	666	146	531	128	497	147	527	124	466	117	607
LOC105378120	2	1	2	1	0	0	0	0	0	0	3
MIR3939	0	0	0	1	0	0	2	0	2	0	1
CEP43	626	154	553	119	587	132	545	153	502	110	481
CCR6	50	11	35	1	29	9	36	4	42	5	19
LOC107986672	0	0	0	0	0	0	0	0	1	0	0
LOC112267970	0	0	0	0	1	0	1	0	0	0	0
GPR31	0	0	0	0	0	0	0	0	0	0	0
LOC105378123	0	0	1	0	2	0	0	0	0	0	0
TCP10L2	2	2	1	0	5	0	2	0	2	2	7
LOC124901462	0	0	0	0	0	0	0	0	2	0	0
HPAT5	9	3	9	3	10	1	5	2	9	2	9
LOC102724220	100	25	69	7	106	20	82	23	93	28	118
LOC102725048	30	5	30	6	27	6	28	9	32	4	43
UNC93A	398	85	239	94	341	74	303	84	282	91	321
TTLL2	38	6	38	11	55	11	52	13	49	5	56
TCP10L3	6	1	2	0	1	0	3	1	0	0	0
LOC105378126	0	0	0	0	0	0	0	0	0	0	0
LOC105378127	0	0	0	0	0	0	0	0	0	0	0
LOC105378128	0	0	0	0	0	0	0	0	0	0	0
LOC107986546	0	0	0	0	0	0	1	0	2	0	0
LOC124901463	0	0	0	0	1	0	0	0	0	0	0
LOC105378129	0	0	0	0	0	0	0	0	0	0	0
LOC124901464	0	0	0	0	0	0	1	0	0	0	0
LOC105378130	2	1	3	0	2	1	2	0	1	1	6
LOC105378131	0	0	0	0	0	0	0	0	0	0	2
LINC02538	15	1	5	1	16	6	10	7	11	5	14
LOC124901465	52	13	44	20	42	7	32	14	32	9	53
LINC02487	7	2	7	5	8	1	6	1	6	0	11
LOC107986547	3	0	0	0	2	1	1	0	3	2	0
LINC01558	26	10	21	6	28	0	20	10	17	3	20
LOC441179	10	3	11	5	7	2	9	0	14	1	5
AFDN-DT	127	25	89	33	106	32	82	41	103	19	121
AFDN	3283	779	2444	814	3314	719	3351	797	2868	710	2924
LOC107986673	1	0	5	0	0	0	0	0	0	0	0
HGC6.3	0	0	0	0	0	0	0	0	0	0	0
KIF25-AS1	0	0	0	0	0	0	0	0	0	0	0
KIF25	0	0	4	0	2	0	1	0	1	1	2
LOC105378135	0	0	1	0	0	0	0	0	0	0	0
FRMD1	19	7	17	8	31	9	25	6	22	6	25
LOC107986548	1	0	1	0	0	0	1	0	0	0	0
LOC105378137	0	0	0	0	0	0	0	0	0	0	0
LOC124901501	0	0	0	0	0	0	1	0	0	0	0
LOC101929420	0	0	1	0	2	0	1	1	2	0	1
DACT2	88	16	62	24	98	16	70	25	56	14	87
LOC105378139	0	0	0	0	0	0	0	0	0	0	0
LOC107986549	0	0	0	0	0	0	0	0	0	0	0
LOC105378140	0	1	1	4	6	0	0	0	1	0	9
LOC105378141	1	0	0	0	1	0	1	0	0	0	2
SMOC2	194	47	167	70	277	29	182	42	136	55	244
LOC124901466	0	0	0	0	0	0	0	0	0	0	0
LOC124901467	0	0	0	0	3	0	1	0	0	0	0
LOC124901468	6	0	0	0	0	0	0	0	0	0	0
LOC105378142	0	0	1	1	0	0	0	0	0	1	0
LOC105378143	0	0	2	2	7	0	4	0	1	0	3
LOC107986550	0	0	0	0	0	0	0	0	0	0	0
LOC105378144	0	0	0	0	0	0	0	0	0	0	0
LOC105378146	0	0	0	0	0	0	0	0	0	0	0
LOC105378145	0	0	0	0	0	0	0	0	0	0	0
LOC101929460	0	0	0	0	0	0	0	0	0	0	0
LOC102724357	0	0	0	0	0	0	0	0	0	0	0
LOC124901469	0	0	0	0	0	0	0	0	0	0	0
LINC01615	0	0	0	0	0	0	0	0	0	0	0
LINC02544	0	0	0	0	0	0	0	0	0	0	0
THBS2-AS1	5	1	3	1	2	0	1	0	0	1	1
THBS2	6	0	3	0	2	0	4	0	3	3	2
LOC124901470	0	0	0	0	0	0	0	0	0	0	0
LOC105378148	1	0	0	0	0	0	0	0	0	0	0
LOC124901472	0	0	0	0	0	0	0	0	0	0	0
LINC02519	0	0	0	0	0	0	0	0	0	0	0
LOC124901473	0	0	0	0	0	0	0	0	0	0	0
WDR27	499	125	405	146	512	131	476	144	434	104	393
LOC124901471	2	0	1	1	4	0	0	2	3	0	1
C6orf120	891	183	544	140	660	154	650	166	614	161	663
PHF10	422	131	363	91	407	98	383	116	351	75	310
DYNLT2	0	0	2	0	0	0	0	0	1	0	0
ERMARD	0	0	0	0	0	0	0	0	0	0	0
LINC00242	0	0	0	0	0	0	0	0	0	0	0
LINC00574	0	0	0	0	0	0	0	0	0	0	0
LOC105378149	0	0	0	0	0	0	0	0	0	0	0
LOC107986674	0	0	1	1	0	4	0	0	0	0	0
LOC107986675	1	0	0	0	0	0	0	0	0	0	0
LOC100131532	0	0	0	0	0	0	0	0	0	0	0
LOC105378150	1	0	0	0	1	0	0	1	1	0	2
LOC101929614	0	0	0	0	0	0	0	0	0	0	0
LOC105378153	0	0	0	1	0	0	1	0	0	0	0
LOC102724511	0	0	0	0	0	0	0	0	0	0	0
LOC154449	0	0	0	0	4	0	0	0	0	0	0
LOC285804	1	0	1	0	1	0	0	0	2	0	0
LINC01624	0	0	0	0	0	0	0	0	0	0	0
DLL1	0	0	0	0	0	0	0	0	0	0	0
FAM120B	5	0	1	0	1	0	0	1	0	0	0
MIR4644	0	0	0	0	0	0	0	0	0	0	0
LOC124901474	4	0	0	0	6	2	3	0	5	0	4
LOC124901475	0	0	0	0	0	0	0	0	0	0	0
LOC107986676	0	0	0	0	0	0	0	0	0	0	0
LOC124901477	0	0	0	0	0	0	0	0	0	0	0
LOC124901235	0	0	0	0	0	0	0	0	0	0	0
LOC124901476	0	0	0	0	0	0	0	0	0	0	0
LOC105378157	0	0	0	0	0	0	0	0	0	0	0
PSMB1	2418	451	1382	361	1458	356	1670	468	1468	315	1690
TBP	242	89	215	48	225	54	220	63	223	42	215
PDCD2	1003	189	640	177	701	173	732	187	662	145	746
LOC101929692	0	0	0	0	0	0	0	0	0	0	0
LOC102723872	0	0	0	0	0	0	0	0	0	0	0
LOC105375112	0	0	0	0	0	0	0	0	0	0	0
LOC105375113	0	0	0	0	0	0	0	0	0	0	0
LOC101929756	0	0	0	0	0	0	0	0	0	0	0
LOC105375114	0	0	0	0	0	0	0	0	0	0	0
LINC03015	0	0	0	0	0	0	0	0	0	0	0
LINC03014	0	0	0	0	0	0	0	0	0	0	0
LOC105375116	0	0	0	0	0	0	0	0	0	0	0
LOC105375115	0	0	0	0	0	0	0	0	0	0	0
LOC124901806	0	0	0	0	0	0	0	0	0	0	0
LOC124901808	0	0	0	0	0	0	0	0	0	0	0
FAM20C	0	0	0	0	0	0	0	0	0	0	0
LOC124901807	0	0	0	0	0	0	0	0	0	0	0
FOXL3	0	0	6	0	1	0	1	0	0	0	1
FOXL3-OT1	0	0	0	0	0	0	0	0	0	0	0
